,AALI.JK,ACES.JK,ADHI.JK,ADRO.JK,AKRA.JK,ANTM.JK,ASII.JK,ASRI.JK,AUTO.JK,BKSL.JK,BMTR.JK,BRIS.JK,BRPT.JK,BSDE.JK,BTPS.JK,BWPT.JK,CLEO.JK,CPIN.JK,CTRA.JK,DMAS.JK,ERAA.JK,EXCL.JK,GIAA.JK,GMFI.JK,HRUM.JK,ICBP.JK,INCO.JK,INDF.JK,INDR.JK,INDY.JK,INTP.JK,ISAT.JK,ITMG.JK,JPFA.JK,JSMR.JK,KAEF.JK,KLBF.JK,LINK.JK,LPKR.JK,LPPF.JK,LSIP.JK,MAPI.JK,MIKA.JK,MNCN.JK,MPMX.JK,MYOR.JK,MYRX.JK,PPRO.JK,PTBA.JK,PTPP.JK,PWON.JK,SCMA.JK,SIDO.JK,SILO.JK,SIMP.JK,SMGR.JK,SMRA.JK,TARA.JK,TCPI.JK,TINS.JK,TLKM.JK,TOPS.JK,TPIA.JK,UNTR.JK,UNVR.JK,WIKA.JK,WOOD.JK,WSBP.JK,WTON.JK,ZINC.JK
AALI.JK,1.0,-0.1826385262120268,0.49908079538524486,-0.04324601087309135,0.016039840485316148,0.22741327365137462,0.6817470264594653,0.38530261399538795,0.7938852372652936,-0.17462583668364573,0.5687358270879133,0.509968707758279,0.10685434475025396,0.3117444300714455,-0.4969029163470033,0.30735449130029974,-0.7988883970883679,-0.20792702658008855,0.6476424324420829,0.038191644535108,-0.28209558673160107,0.6167582806911606,0.41943713812954225,0.6540432899774498,0.14221768089660675,0.5138400567954156,0.4416477558635825,0.7344379777735212,0.22642857221952936,-0.19924526808373813,0.8066741753898945,0.2151924111712521,0.13199485682226786,0.4981201868983289,0.29842309620436325,-0.0009981689857594415,0.5587035402547296,0.3870151100671676,0.5917819414448044,-0.48355315055362924,0.9215341437124285,0.37834455854184623,0.12359797208731796,0.46189230927539854,-0.14239053326295073,0.15881176499183608,0.6211861143452307,-0.0269996926815673,0.3846161554499346,-0.11448313525146164,0.19389028014080675,0.6303742110872317,-0.39742769829034186,0.6916276049913636,0.4758430174069007,0.6532157359677484,0.6526043474776653,-0.8507642421434418,-0.6636533782616008,0.8373647315803134,0.15191625193956232,-0.4882102591850408,0.016399854845506594,0.7005563512588855,0.47668712705070737,0.21054928347475826,-0.7167047261246771,-0.14142651016623695,0.69789636069591,-0.5138687637374894
ACES.JK,-0.1826385262120268,1.0,0.6630782611438866,0.22851898513513838,0.42577561180862833,-0.27693722033854257,0.8517381056945564,0.38028122270627823,0.28074550662438225,-0.32023508703736314,0.07469573237391959,-0.7060658951870327,0.6892215194935783,0.661452069223945,0.7872508172173945,0.5628470567725291,0.8348083940843823,0.32288010263632255,0.7450809969877548,-0.1934334622690218,0.33645789334496523,0.05264183674756968,-0.4986975510888795,-0.6405872999370691,-0.6030463097123842,0.9329523003752805,-0.1783443719488677,0.831032235479217,0.6394010886781131,-0.07511146566061228,0.783918814431355,-0.3593030436123821,0.29708059928002595,0.8912295431540969,0.7355284928172043,0.39069957815148176,0.8253624257367443,-0.09163968843955672,-0.10185710882013042,-0.3435898771245207,0.0694311138945669,0.923584063996422,-0.316830589727604,0.40967681179906734,0.5369381469591968,-0.12152659333307352,0.7412889420512869,0.014924163916309935,0.8667683871086744,0.4790510947855803,0.9079185145473426,0.6683974300033181,0.8275680773981442,-0.7973851220376513,-0.6553454018155861,0.6456131754047785,0.6056770516831027,0.7537784802849196,0.2895731692814014,0.0831273735900253,0.1370157620120929,0.39122574271485894,0.8151901131724802,0.7901870201286281,0.9082630116927525,0.6936857191238118,0.8831592030635563,0.4646842782333106,-0.77164755505593,0.7325528579089733
ADHI.JK,0.49908079538524486,0.6630782611438866,1.0,-0.1575326898188648,0.6428636222945443,-0.5763118773858462,0.8392740867003291,0.6568450890555803,0.6505019581537342,-0.3300747729066698,0.5063241325467628,0.18501470189309566,0.1701477481153504,0.9227948065180257,-0.024821364328475877,0.779007507695959,-0.7069567740097682,0.0880435540387919,0.9451219980022592,-0.6122431472320852,-0.273259196861663,0.3492344683690636,-0.25180807115422593,0.8439830563721735,-0.8008457290450463,0.8131755165166319,-0.08647645811663209,0.8488298665367748,0.18817142990524985,-0.5091539807481505,0.8076445610390471,0.10887584270235179,-0.09492855073338959,0.7112914385397249,0.837027848054156,0.6031422809885628,0.9203608584104974,0.0723109521115399,0.6222458105458876,-0.3338539211556525,0.477532655769583,0.6886511725938276,-0.7128970964386706,0.7921559317064953,-0.46201164791618615,-0.2908771044950804,0.931856756635018,0.7577961363149609,0.5167463186042786,0.8033509154607972,0.7865730630093313,0.9311993376830723,-0.6015169589150899,0.5744735238442404,-0.5822841640885358,0.7555020925034791,0.9213657139874417,-0.5925339765588353,-0.2685775718478471,0.3712117947616792,-0.31712536881867903,-0.3822112108789428,0.38840037618565715,0.5994852061941689,0.8264479037738278,0.9380493923915181,-0.7311640330013129,0.8365229667951752,0.7280270957505165,-0.23753154103719346
ADRO.JK,-0.04324601087309135,0.22851898513513838,-0.1575326898188648,1.0,0.44359076921375323,-0.7533859726856964,0.1728871307021993,-0.13196520706667947,0.012754127722651358,0.09061132808673034,-0.34173062867140386,0.7988787899276332,0.5117874372946202,0.007891202429564696,-0.6340761468157219,0.7651914970969517,-0.39967738913869166,0.41729041767224706,-0.06609054915365618,-0.639839409259279,0.23916233511372,0.09561561173092073,-0.2949938689535568,0.7085930459022571,0.4867280469998184,0.18921310038788564,0.620523500127046,0.25256189874547524,0.41057934651033445,0.7910316572042438,0.10727222370724167,0.12451718825217886,0.7689827987498674,0.2896312495769134,-0.02840500346116659,0.6207467090820772,-0.00517622217441277,0.2532024736856634,-0.6306095499149268,-0.5011740321297012,0.2852071375914451,0.24659410849015181,-0.8471458870714809,-0.2734394392149264,0.4349022670521089,-0.1348780958684269,-0.08527772861162623,0.7397749994457095,0.5099190208770684,-0.27130371184759494,0.2386789381094024,-0.1731064764275129,0.36261976270394647,-0.4142504291869109,0.0675123293634475,-0.05575079394769458,-0.21232843920767783,0.6891243240748772,-0.11119549535484691,0.5155130400442217,-0.31871355231987697,0.17379962589535777,0.5391897963687664,0.6728227585461599,0.1911062693533033,-0.21474334242273824,-0.6383478454854196,0.8169346734753049,-0.7143548950522501,-0.49611199095763636
AKRA.JK,0.016039840485316148,0.42577561180862833,0.6428636222945443,0.44359076921375323,1.0,-0.40259792917896897,0.4631085126883834,0.5740629020388858,0.42120247805311417,-0.3958367254725387,0.5182767125416154,0.3489974947814187,-0.4021936246028044,0.5599823450766419,0.08856523087431561,0.6407325353903572,-0.4448165791617139,0.1674371152905114,-0.2537350242777953,-0.45116164036721806,-0.12514855042861844,-0.5927242446431628,-0.24603141910273024,0.5070566155094899,0.3387582908812154,-0.3811602144764556,-0.1491227866407141,-0.18640561870595723,0.5833164265613329,0.3473568520857768,-0.2983444928491428,-0.49963005680153194,0.2889328388567045,0.19686449347886542,0.14871237796806344,0.5426962227023886,0.12629690909030755,-0.19161927285711194,0.043367390507298265,-0.18189590290401875,0.2221553656142863,-0.3298301251286085,-0.36322861815118673,-0.11709779761524043,0.3894070536522546,-0.280224508539002,0.5166315223867072,0.6163231174822494,0.4243631236742254,0.621836005006161,0.4327260718725813,0.5454575463221253,-0.360603758885755,-0.4592703101555835,0.5065766597752743,-0.28197615498033085,0.1043982928513991,0.5290700531501945,0.2890751436014606,0.43571316589449666,-0.11631019073901097,0.3140016699730841,-0.5406619968400638,0.5494583995102615,0.4610677314167217,0.5372642055056022,0.37840108151171153,0.6564981396684456,0.3460455613971533,-0.5364824779624348
ANTM.JK,0.22741327365137462,-0.27693722033854257,-0.5763118773858462,-0.7533859726856964,-0.40259792917896897,1.0,-0.8886810405419441,-0.4186222249868505,-0.7845792510371354,0.45452709869798524,-0.6603442822005082,-0.7794592988994772,0.7230699786102798,-0.3664285925363622,0.3353424312574702,-0.6484657451998889,0.8934162737133959,-0.05866779568672899,0.7513845710864284,0.8526573982955371,0.5703695854650568,0.887558739532494,0.6511964409695629,-0.5289827920729533,-0.48656633946200745,0.9490698155746821,0.8804737759187768,0.8402133176734737,-0.8335184396845768,-0.24958642173152357,0.5857319705446605,0.9047167765816252,-0.8106214009168602,0.15622752623584438,0.16872452487297493,-0.7014286619248852,0.5682822005896692,-0.20333329061364708,0.1674586799021766,-0.5195761280430081,0.26586042858195524,0.8667646115663589,0.8428014876777199,0.5073170778020328,-0.8739890786517021,-0.1799326767064897,-0.6285902774491836,-0.8078774640148757,-0.8898769837172653,-0.4933996123062064,-0.5501455671848838,-0.9109431145166521,0.8270989159576106,0.8288510129498788,-0.2782337169246721,0.7788205225964564,0.43300498027349177,-0.48296656289413176,0.1666861391537466,-0.6255502077632537,0.7341354405794727,-0.7540999152708737,0.87687594163059,-0.7623696219588135,0.013022641669970345,-0.1626719561277384,-0.8061571247845346,-0.7014567968619005,-0.06676148294594524,0.8097956499245934
ASII.JK,0.6817470264594653,0.8517381056945564,0.8392740867003291,0.1728871307021993,0.4631085126883834,-0.8886810405419441,1.0,0.6557241761765497,0.8324264967649222,-0.4889168839254257,0.41107503230418735,-0.24138049243000476,0.38662031807886116,0.8929135251030541,0.0316879331070802,0.7251736942842113,-0.4475081231592454,0.1920502042623368,0.927748468247042,-0.7940708589261379,-0.035711089832015666,0.4918508294861848,-0.43049494608194866,0.10128201634783546,-0.7028414332717449,0.9238765756607061,-0.10637609268331541,0.9770700574858086,0.5135137525155417,-0.2891844567609573,0.9471675589514138,-0.003841685099766239,0.27688531777098685,0.9042564947676784,0.9099353354915793,0.6539017779569737,0.957286086629441,0.22620960852096608,0.4225079232110284,-0.6484333633376684,0.7348465923675479,0.9098501059395709,-0.892375558617599,0.7101723644798486,0.16130754287977306,0.04091347908425641,0.9270888255911511,0.799978548450945,0.7765371976794299,0.6640915454094433,0.8519849211903231,0.9303768887977596,0.18287675867230238,-0.26359518904943785,-0.6010709949358775,0.866798108453468,0.8948210605362,0.5254042880415931,-0.19340925164018807,0.6933720299134057,-0.6587694035044988,-0.33620302631261495,0.6041267166303518,0.8989690576671218,0.9399701312640872,0.831211459737001,-0.3516210874916999,0.8330654307027016,-0.46222364146906264,-0.26598122968548693
ASRI.JK,0.38530261399538795,0.38028122270627823,0.6568450890555803,-0.13196520706667947,0.5740629020388858,-0.4186222249868505,0.6557241761765497,1.0,0.8189430788355897,-0.010292189636415334,0.8361755463549346,-0.0019549309892550417,-0.19334390310096072,0.6821687922759982,0.17067700651461457,0.6570826548233525,-0.3492316468281008,0.4610038288584142,0.6267901536498991,-0.4384622044025192,0.3127415674698406,0.6325912330515806,0.564539855202829,0.7602268086309251,0.004686795347620716,0.3385253884243614,-0.22337824890147082,0.5959515659958567,0.05381820760019558,-0.3742306934582238,0.6936350765981473,0.04484263518168653,0.27210832763814086,0.5318854517106038,0.7844847878878699,0.4977599463227009,0.6155565228041987,0.344967208905869,0.6509412142924415,-0.3886856258109247,0.5588031952489952,0.5869276017101265,-0.6313513286563843,0.877615828113738,0.00010303352132189768,-0.4971549056768101,0.5642268768339186,0.6598603093638236,0.10607886947107052,0.03117574404485415,0.35908301044832713,0.7097591100182015,-0.35281068013838557,0.5869895714999644,0.41237641141603626,0.8458217282877879,0.6441748375129084,-0.6768355421711695,0.05965824349568035,0.0633066250433103,-0.07919944434737229,-0.07406218283972378,-0.05900141255439579,0.2858225062865682,0.37271532422902853,0.5958014646985251,-0.564185946701719,0.8403993095451522,0.7650478517509777,-0.20387692944066566
AUTO.JK,0.7938852372652936,0.28074550662438225,0.6505019581537342,0.012754127722651358,0.42120247805311417,-0.7845792510371354,0.8324264967649222,0.8189430788355897,1.0,-0.369001260169923,0.7321117326183215,-0.12137644554704415,0.03308639979202354,0.5616343806718394,0.11355881152998108,0.7013677982486817,-0.80441280683324,0.3835105600956021,0.7310068297638157,-0.7167338589047432,0.04202265134393719,0.8632435230958063,0.6095947453641478,0.6554156504514623,0.2615135765626001,0.597247896339499,-0.03884623770046129,0.824837071041427,0.29449444104124395,-0.2770060973444387,0.8722240682157179,0.04952048288425902,0.4061641410214895,0.6860104572239623,0.7546296703647987,0.5508617749673544,0.7315177511192097,0.6138359964328045,0.626946101727471,-0.6710659858004971,0.8579006119035751,0.6589130092450788,-0.8916907446045106,0.813257574569538,0.18434173135211182,-0.1134460115914691,0.7284101168281681,0.9124173704166838,0.43694425838577694,-0.23879598598092824,0.4136251209458657,0.8021611304267178,-0.3025929837588909,0.6223686922324274,0.6666372419029641,0.8789935028929856,0.7432687163979569,-0.7228178109836351,-0.6910021906846279,0.7719862337354122,-0.5423381626055307,-0.8334720503375969,0.06846226628920582,0.7185612810883651,0.5935764103766931,0.49830029428934625,-0.7034025987713056,0.8522788365609848,0.5966441367718931,-0.3424497261033689
BKSL.JK,-0.17462583668364573,-0.32023508703736314,-0.3300747729066698,0.09061132808673034,-0.3958367254725387,0.45452709869798524,-0.4889168839254257,-0.010292189636415334,-0.369001260169923,1.0,0.028189150329696905,0.11296869401282933,-0.04826551754632038,-0.21674079038598848,0.1865223272820917,-0.5907725622175001,0.03715034065417769,0.1398670456188719,-0.42083186073306283,0.5102775778807491,0.50784386874177,-0.221852509116197,0.5085851071759901,0.7125251011080572,0.562547759905391,-0.45603282165553916,0.3570409462350608,-0.4773795890625609,-0.1877164366713987,0.19728296492898392,-0.5030625121189077,0.30779417158912953,0.04897562985118933,-0.35142140221371976,-0.32965138037551167,-0.4976326654209227,-0.47533070792541604,0.35904252840328704,-0.1725477511872618,0.564328999772153,-0.22833223189259966,-0.35988941106523886,0.3016023874321491,-0.17566211203615775,0.5933832770252158,-0.05381829429989538,-0.4580827132037293,-0.44162266913228243,-0.36297466097126374,-0.592191419461486,-0.38955748708921817,-0.4398636073030937,0.37558357629978606,-0.167072539586873,0.7382280537518856,-0.40477274766006693,-0.4709342089932984,0.38897513117853305,0.572007192499958,-0.4775580082682998,0.26424652644868163,0.3068541369956347,-0.2011218245664689,-0.4083675345548642,-0.4959700080513532,-0.39104702246548173,-0.3761213473107187,-0.33149320012264977,-0.3830382828611966,-0.1551691584396115
BMTR.JK,0.5687358270879133,0.07469573237391959,0.5063241325467628,-0.34173062867140386,0.5182767125416154,-0.6603442822005082,0.41107503230418735,0.8361755463549346,0.7321117326183215,0.028189150329696905,1.0,0.5143662722907829,-0.37061841719725575,0.4422422704784342,-0.20417826360095231,0.5012721425477497,-0.6689976610691697,0.4514814832546482,0.4057402466143046,-0.560287545085273,0.16267058557003206,0.694635975637077,0.6631700568825135,0.8485364796738752,0.0795115529209779,0.09695344218411382,0.03868455875190685,0.3568844996130487,-0.11163620607705478,-0.4670422806528799,0.486719971044027,0.09562997664350525,0.13844718804032846,0.28946434104157226,0.5916778368997012,0.5256884796684688,0.4128441497524708,0.3733891207608843,0.7402843792993534,-0.22744897234222752,0.5850445120803504,0.3425135292662521,-0.6060479365621747,0.8544429625888843,0.009231161905830754,-0.05749090941712902,0.38241180178785067,0.6443671488424673,-0.09623473449932694,-0.1487589226430845,0.10455945400934623,0.5699300015493379,-0.3339694408065543,0.6077038563222215,0.5624626878931427,0.6752696499919331,0.46806220445945906,-0.8831213418945051,0.428854411848054,0.1838510692235856,-0.40228445235572735,-0.27012276310632366,-0.34815763288371754,0.0950105559151373,0.15020593642196134,0.39827677496639696,-0.7538772811423473,0.6629932024886265,0.7449744979336937,-0.3568161422639519
BRIS.JK,0.509968707758279,-0.7060658951870327,0.18501470189309566,0.7988787899276332,0.3489974947814187,-0.7794592988994772,-0.24138049243000476,-0.0019549309892550417,-0.12137644554704415,0.11296869401282933,0.5143662722907829,1.0,-0.6789552924192443,0.06765576477917987,-0.7605753664923272,0.5998328606623192,-0.6912913492024045,0.3712462627801122,-0.5106124107286891,-0.7317041453527995,0.5772437643211794,-0.13016188787928187,-0.5357229346648704,0.46468607277698337,0.8048093192952416,-0.7113241912513024,0.6458185210088897,-0.4284960926368742,0.22261728189573948,0.8077895118889068,-0.6837930471862383,0.43051218439151817,0.8154283596090726,0.19386628276008203,-0.565992978996627,0.6412833826375239,-0.5520997259155637,-0.17562207577269345,0.3822003201821782,0.7497786423663445,0.15989546987181266,-0.3736238461116407,-0.8949937179778528,-0.18914105487471394,-0.39624554242684146,-0.17146925132420338,0.7610903943579463,0.9193846538664922,0.550242622618147,0.029528709935947677,-0.6678300851196667,0.75582881054281,-0.6882362002826774,-0.17036854202239995,0.8121460717214166,-0.6594813142246798,-0.5965386700507471,0.6124958820377189,-0.630545774649091,-0.2896093542671927,-0.5319652704651192,0.7008788607570008,-0.32051347957503223,0.7563293848481434,-0.15318420544935307,-0.6195511742824972,-0.6105629175574663,0.8593022168287954,-0.4504003039245782,-0.6183537808518604
BRPT.JK,0.10685434475025396,0.6892215194935783,0.1701477481153504,0.5117874372946202,-0.4021936246028044,0.7230699786102798,0.38662031807886116,-0.19334390310096072,0.03308639979202354,-0.04826551754632038,-0.37061841719725575,-0.6789552924192443,1.0,0.13956641733777697,0.8362501905152597,-0.6811410437336416,0.7056983354263249,0.38789738858630113,0.3150223344476951,0.7127539645344811,0.25122758448619914,-0.24353630338784796,-0.45279113402585214,-0.3783508349644961,-0.22842549252836358,0.574566057279899,0.2400974446402207,0.41747498279063616,0.6266153150060605,0.3793930089072228,0.3617280617668637,-0.15732428849721894,0.34704959969109017,0.5619296590207917,0.15273288973415536,-0.6441506646818768,0.35867426336016056,-0.02728822503819966,-0.46044579568843647,-0.14653319614842936,0.13343360575674854,0.5490692365409914,0.5517408294235956,-0.24969582891557315,0.579147434177435,-0.2881397897081396,0.2865430812142256,-0.1536065371381481,0.7161752027467518,0.16736012298679911,0.5762260860222986,0.16901855771117952,0.7619974515115431,-0.6947424889793696,-0.48025319968962954,0.17934111931925117,0.1874512781246955,0.7307160847790773,-0.2523355327782359,0.2855276409135411,0.6039836263593343,0.1849012575399484,0.8589850623281755,0.562710495839252,0.5509256695560133,0.1342041306141199,0.7507917445865641,-0.44424189213128457,-0.7675175591803395,0.9149173363505734
BSDE.JK,0.3117444300714455,0.661452069223945,0.9227948065180257,0.007891202429564696,0.5599823450766419,-0.3664285925363622,0.8929135251030541,0.6821687922759982,0.5616343806718394,-0.21674079038598848,0.4422422704784342,0.06765576477917987,0.13956641733777697,1.0,0.12002873271136265,0.7252564299952646,-0.6838252577500247,0.24391220447464268,0.9583388365265351,-0.4005966041127709,-0.4776831899260022,0.2867878674872369,-0.2521040434219074,0.8188762572657504,-0.7720089117676254,0.7853703127833642,-0.13962659876058045,0.9087920691983261,0.07357643519099533,-0.4243663731615006,0.8305723744163257,0.09958195500825645,0.0007954074670980695,0.6345130900613408,0.8792475811518268,0.42320142551986223,0.9246947043147072,0.05472490137673925,0.46806585385580723,-0.33799658949061245,0.3519708330802695,0.6610527039770324,-0.5587837255797998,0.7752139658367627,-0.5526549573908202,-0.3727786139778039,0.91782593045659,0.4586501456394375,0.3896176545500538,0.8637885259393657,0.8139301372028341,0.9204597468762019,-0.6632790871868061,0.5517811562434793,-0.5857191211716529,0.7332562650763838,0.9359389032258965,-0.40611783720735145,-0.05102691315653069,-0.08458137251676008,-0.004923622685029452,-0.4922971168710439,0.37972444478582845,0.5494086507091552,0.8210995842898514,0.9121634076301497,-0.7128652157265623,0.7315076094786086,0.6049963868466007,-0.18174891917688604
BTPS.JK,-0.4969029163470033,0.7872508172173945,-0.024821364328475877,-0.6340761468157219,0.08856523087431561,0.3353424312574702,0.0316879331070802,0.17067700651461457,0.11355881152998108,0.1865223272820917,-0.20417826360095231,-0.7605753664923272,0.8362501905152597,0.12002873271136265,1.0,-0.03522995877241684,0.8475149305465003,0.42395374502050964,0.6414000304501657,0.4032049834029682,-0.5261306891045345,0.5172010389921097,0.6498294900719352,-0.48538244402125275,-0.6810149220044384,0.7106110697507276,-0.5728481590044621,0.48649726917241776,-0.2529868619295957,-0.7047880796166531,0.7866091433283915,-0.16410392110895727,-0.7829259663759389,-0.34253634406042427,0.8292913338725949,-0.3699212061305918,0.4053933767559165,0.0068696473420623546,0.005070784101004571,-0.7379413928319065,-0.14062444287856807,0.516756434386982,0.15238529731898276,0.5654994837858283,0.7146946794559107,-0.6516955293622027,-0.6947362340195243,-0.3734857509815241,-0.79690731889331,0.20284261663177588,0.7892652336416615,-0.7380796978656019,0.8745118894255839,0.4058933672151211,-0.912474094898965,0.6585229591660576,0.8200950269260734,-0.7523565984517169,0.7792451668727847,0.48738427752228297,0.5779870050179834,-0.8656812781037188,0.2925539039393081,-0.677530307114526,0.1826068745851176,0.8868183528098756,0.819006938124153,0.08306146453051638,0.7442069260724892,0.8121547523402683
BWPT.JK,0.30735449130029974,0.5628470567725291,0.779007507695959,0.7651914970969517,0.6407325353903572,-0.6484657451998889,0.7251736942842113,0.6570826548233525,0.7013677982486817,-0.5907725622175001,0.5012721425477497,0.5998328606623192,-0.6811410437336416,0.7252564299952646,-0.03522995877241684,1.0,-0.7937769864158839,0.137797748848187,-0.5624645779413853,-0.6780209678297555,-0.07022359447689948,-0.8082954830540421,-0.39977723064164294,0.6062578663194619,0.6890011376499451,-0.7424208049427126,-0.3220343710586528,-0.4894149297236604,0.7585764179790131,0.5372183396012843,-0.5399979236175195,-0.6456030117529661,0.6161357252228999,0.07378924122485789,0.013422104871527505,0.6177753525049624,-0.31260593290817223,-0.08061447879867667,0.062092699276468565,0.10953054766461309,0.3363104613307565,-0.6490674214480509,-0.7455984385249307,-0.4432793754994341,0.6208668040058223,-0.10434413330991014,0.6759095153211819,0.7614622404985881,0.7636657451627219,0.6711373153287742,0.660853178841985,0.7701483878267841,-0.6849219223806744,-0.7641319399324862,0.6806763445882041,-0.5611917584115047,-0.14557021532878317,0.26541894682589456,0.15961393505292892,0.6255173974071472,-0.3619145980541328,0.4385335624391366,-0.8276512568928238,0.7785462078505313,0.18641285989689324,0.45855107381646043,0.6759686892742733,0.7706678372598542,0.301655334503527,-0.7531781963496261
CLEO.JK,-0.7988883970883679,0.8348083940843823,-0.7069567740097682,-0.39967738913869166,-0.4448165791617139,0.8934162737133959,-0.4475081231592454,-0.3492316468281008,-0.80441280683324,0.03715034065417769,-0.6689976610691697,-0.6912913492024045,0.7056983354263249,-0.6838252577500247,0.8475149305465003,-0.7937769864158839,1.0,-0.10115029359205209,-0.23852315307673694,0.8655343774689946,0.6207638713072933,-0.36002632028792947,0.2129385844814142,-0.7344566929170322,-0.38178293763297455,0.7482243437604429,0.4164408457332611,-0.4927218851657691,0.6661754389254437,0.0723389622350487,0.3415256243508826,-0.7900875521029108,0.2601621913174342,0.5453741706719392,-0.0893332802657761,-0.7283798445408921,-0.4178135241385271,-0.5696330062507611,-0.7968459915599344,-0.8428339686275742,-0.5322424905942825,0.7664636751918814,0.9502150109192004,-0.5578009853505678,0.6939292945938795,-0.02163713549777509,-0.4535971482277926,-0.8954767891949376,0.5530904982447442,-0.6716875291280752,0.16208128559157362,-0.7371723708082264,0.9139805842400142,-0.710291675468739,-0.7333805798969952,0.4323027362895026,-0.1114701812233984,0.4039747996958526,0.6947868229088587,0.36169676390771965,0.718485960608965,0.4681236411497959,0.41620487433184933,-0.21546677666340364,-0.34835942629525984,0.1273589406823028,0.8332578325295749,-0.8340716878967781,-0.36106184029819316,0.6715690116896735
